slug,page_type,cluster,cluster_priority,word_target,h1,priority,status,target_queries_count,due_phase
/ssc-jobs,hub,ssc,1,2000,SSC Jobs 2026 — Latest Staff Selection Commission Recruitment,high,planned,25,B1
/ssc-cgl-notification,notification,ssc,1,1200,SSC CGL 2026 Notification — Vacancies Dates & Apply Online,high,planned,15,B1
/ssc-cgl-syllabus,syllabus,ssc,1,1500,SSC CGL Syllabus 2026 — Complete Tier 1 & Tier 2 Syllabus,high,planned,12,B1
/ssc-cgl-exam-pattern,exam_pattern,ssc,1,1200,SSC CGL Exam Pattern 2026 — Paper Structure & Marking Scheme,high,planned,10,B1
/ssc-cgl-salary,salary,ssc,1,1200,SSC CGL Salary 2026 — In-Hand Pay Allowances & Job Profile,high,planned,12,B1
/ssc-cgl-cutoff,cutoff,ssc,1,1000,SSC CGL Cutoff 2026 — Category-Wise Cut Off Marks,high,planned,10,B1
/ssc-cgl-previous-year-papers,previous_papers,ssc,1,900,SSC CGL Previous Year Papers — Download PDF with Answer Keys,medium,planned,8,B1
/ssc-chsl-notification,notification,ssc,1,1200,SSC CHSL 2026 Notification — Vacancies Eligibility & Apply,high,planned,12,B1
/ssc-chsl-syllabus,syllabus,ssc,1,1500,SSC CHSL Syllabus 2026 — Tier 1 & Tier 2 Complete Syllabus,high,planned,10,B1
/ssc-chsl-exam-pattern,exam_pattern,ssc,1,1200,SSC CHSL Exam Pattern 2026 — Questions Marks & Duration,medium,planned,8,B1
/ssc-chsl-salary,salary,ssc,1,1200,SSC CHSL Salary 2026 — LDC DEO PA In-Hand Pay Details,medium,planned,10,B1
/ssc-chsl-cutoff,cutoff,ssc,1,1000,SSC CHSL Cutoff 2026 — Category-Wise Cut Off Marks,medium,planned,8,B1
/ssc-chsl-previous-year-papers,previous_papers,ssc,1,900,SSC CHSL Previous Year Papers — Download PDF,medium,planned,6,B2
/ssc-mts-notification,notification,ssc,1,1200,SSC MTS 2026 Notification — Multi Tasking Staff Recruitment,high,planned,10,B1
/ssc-mts-syllabus,syllabus,ssc,1,1500,SSC MTS Syllabus 2026 — Complete Exam Syllabus,high,planned,10,B1
/ssc-mts-exam-pattern,exam_pattern,ssc,1,1000,SSC MTS Exam Pattern 2026 — Paper Structure,medium,planned,6,B2
/ssc-mts-salary,salary,ssc,1,1200,SSC MTS Salary 2026 — In-Hand Pay & Allowances,medium,planned,8,B2
/ssc-mts-cutoff,cutoff,ssc,1,1000,SSC MTS Cutoff 2026 — Category-Wise Marks,medium,planned,6,B2
/ssc-gd-notification,notification,ssc,1,1200,SSC GD Constable 2026 Notification — CAPF Recruitment,high,planned,12,B1
/ssc-gd-syllabus,syllabus,ssc,1,1500,SSC GD Constable Syllabus 2026 — Complete Syllabus,high,planned,10,B1
/ssc-gd-exam-pattern,exam_pattern,ssc,1,1000,SSC GD Exam Pattern 2026 — Marking Scheme,medium,planned,6,B2
/ssc-gd-salary,salary,ssc,1,1200,SSC GD Constable Salary 2026 — CAPF Pay & Perks,medium,planned,8,B2
/ssc-gd-cutoff,cutoff,ssc,1,1000,SSC GD Cutoff 2026 — Category-Wise Cut Off,medium,planned,6,B2
/ssc-cpo-notification,notification,ssc,1,1200,SSC CPO 2026 Notification — SI in Delhi Police & CAPF,medium,planned,8,B2
/ssc-cpo-syllabus,syllabus,ssc,1,1500,SSC CPO Syllabus 2026 — Paper I & II Syllabus,medium,planned,8,B2
/ssc-cpo-salary,salary,ssc,1,1200,SSC CPO Salary 2026 — Sub Inspector Pay & Allowances,medium,planned,8,B2
/ssc-je-notification,notification,ssc,1,1200,SSC JE 2026 Notification — Junior Engineer Recruitment,medium,planned,8,B2
/ssc-je-syllabus,syllabus,ssc,1,1500,SSC JE Syllabus 2026 — Civil Electrical Mechanical,medium,planned,8,B2
/ssc-je-salary,salary,ssc,1,1200,SSC JE Salary 2026 — Junior Engineer Pay Scale,medium,planned,6,B2
/ssc-stenographer-notification,notification,ssc,1,1000,SSC Stenographer 2026 Notification — Grade C & D,low,planned,6,B3
/railway-jobs,hub,railway,1,2000,Railway Jobs 2026 — Latest Indian Railways Recruitment,high,planned,25,B1
/rrb-ntpc-notification,notification,railway,1,1200,RRB NTPC 2026 Notification — Vacancies Dates & Apply,high,planned,15,B1
/rrb-ntpc-syllabus,syllabus,railway,1,1500,RRB NTPC Syllabus 2026 — CBT 1 & CBT 2 Complete Syllabus,high,planned,12,B1
/rrb-ntpc-exam-pattern,exam_pattern,railway,1,1200,RRB NTPC Exam Pattern 2026 — Paper Structure,high,planned,10,B1
/rrb-ntpc-salary,salary,railway,1,1200,RRB NTPC Salary 2026 — Station Master Goods Guard Pay,high,planned,10,B1
/rrb-ntpc-cutoff,cutoff,railway,1,1000,RRB NTPC Cutoff 2026 — Category-Wise Cut Off Marks,medium,planned,8,B1
/rrb-ntpc-previous-year-papers,previous_papers,railway,1,900,RRB NTPC Previous Year Papers — Download PDF,medium,planned,8,B2
/rrb-group-d-notification,notification,railway,1,1200,Railway Group D 2026 Notification — Track Maintainer Helper,high,planned,15,B1
/rrb-group-d-syllabus,syllabus,railway,1,1500,Railway Group D Syllabus 2026 — Complete Exam Syllabus,high,planned,12,B1
/rrb-group-d-exam-pattern,exam_pattern,railway,1,1200,Railway Group D Exam Pattern 2026 — CBT Structure,medium,planned,8,B1
/rrb-group-d-salary,salary,railway,1,1200,Railway Group D Salary 2026 — In-Hand Pay & Allowances,high,planned,12,B1
/rrb-group-d-cutoff,cutoff,railway,1,1000,Railway Group D Cutoff 2026 — Category-Wise Marks,medium,planned,8,B2
/rrb-group-d-previous-year-papers,previous_papers,railway,1,900,Railway Group D Previous Year Papers — PDF Download,medium,planned,6,B2
/rrb-alp-notification,notification,railway,1,1200,RRB ALP 2026 Notification — Assistant Loco Pilot Recruitment,high,planned,10,B1
/rrb-alp-syllabus,syllabus,railway,1,1500,RRB ALP Syllabus 2026 — CBT 1 & CBT 2 Syllabus,medium,planned,10,B2
/rrb-alp-exam-pattern,exam_pattern,railway,1,1000,RRB ALP Exam Pattern 2026 — Paper Structure,medium,planned,6,B2
/rrb-alp-salary,salary,railway,1,1200,RRB ALP Salary 2026 — Assistant Loco Pilot Pay Scale,medium,planned,8,B2
/rrb-alp-cutoff,cutoff,railway,1,1000,RRB ALP Cutoff 2026 — Category-Wise Cut Off,medium,planned,6,B2
/rrb-je-notification,notification,railway,1,1200,RRB JE 2026 Notification — Railway Junior Engineer,medium,planned,8,B2
/rrb-je-syllabus,syllabus,railway,1,1500,RRB JE Syllabus 2026 — CBT 1 & CBT 2 Complete Syllabus,medium,planned,8,B2
/rrb-je-salary,salary,railway,1,1200,RRB JE Salary 2026 — Junior Engineer Pay & Perks,medium,planned,6,B2
/rpf-constable-notification,notification,railway,1,1200,RPF Constable 2026 Notification — Railway Police Force,medium,planned,10,B2
/rpf-constable-syllabus,syllabus,railway,1,1200,RPF Constable Syllabus 2026 — Complete Exam Syllabus,medium,planned,8,B2
/rpf-constable-salary,salary,railway,1,1200,RPF Constable Salary 2026 — Pay Scale & Allowances,medium,planned,6,B2
/rpf-constable-cutoff,cutoff,railway,1,1000,RPF Constable Cutoff 2026 — Category-Wise Marks,low,planned,6,B3
/rpf-si-notification,notification,railway,1,1000,RPF SI 2026 Notification — Sub Inspector Recruitment,low,planned,6,B3
/rpf-si-syllabus,syllabus,railway,1,1200,RPF SI Syllabus 2026 — Complete Syllabus,low,planned,6,B3
/banking-jobs,hub,banking,2,2000,Banking Jobs 2026 — Latest Bank Recruitment & Vacancies,high,planned,20,B1
/ibps-po-notification,notification,banking,2,1200,IBPS PO 2026 Notification — Probationary Officer Recruitment,high,planned,15,B1
/ibps-po-syllabus,syllabus,banking,2,1500,IBPS PO Syllabus 2026 — Prelims & Mains Complete Syllabus,high,planned,12,B1
/ibps-po-exam-pattern,exam_pattern,banking,2,1200,IBPS PO Exam Pattern 2026 — Paper Structure & Marking,medium,planned,8,B2
/ibps-po-salary,salary,banking,2,1200,IBPS PO Salary 2026 — In-Hand Pay Allowances & Perks,high,planned,10,B1
/ibps-po-cutoff,cutoff,banking,2,1000,IBPS PO Cutoff 2026 — State-Wise & Category-Wise Marks,medium,planned,8,B2
/ibps-po-previous-year-papers,previous_papers,banking,2,900,IBPS PO Previous Year Papers — Prelims & Mains PDF,medium,planned,6,B2
/ibps-clerk-notification,notification,banking,2,1200,IBPS Clerk 2026 Notification — Clerical Cadre Recruitment,high,planned,12,B1
/ibps-clerk-syllabus,syllabus,banking,2,1500,IBPS Clerk Syllabus 2026 — Prelims & Mains Syllabus,medium,planned,10,B2
/ibps-clerk-exam-pattern,exam_pattern,banking,2,1000,IBPS Clerk Exam Pattern 2026 — Paper Structure,medium,planned,6,B2
/ibps-clerk-salary,salary,banking,2,1200,IBPS Clerk Salary 2026 — In-Hand Pay & Allowances,medium,planned,8,B2
/ibps-clerk-cutoff,cutoff,banking,2,1000,IBPS Clerk Cutoff 2026 — State-Wise Cut Off,medium,planned,6,B2
/sbi-po-notification,notification,banking,2,1200,SBI PO 2026 Notification — Probationary Officer Recruitment,high,planned,15,B1
/sbi-po-syllabus,syllabus,banking,2,1500,SBI PO Syllabus 2026 — Prelims & Mains Complete Syllabus,high,planned,10,B1
/sbi-po-exam-pattern,exam_pattern,banking,2,1200,SBI PO Exam Pattern 2026 — Paper Structure & Marking,medium,planned,8,B2
/sbi-po-salary,salary,banking,2,1200,SBI PO Salary 2026 — In-Hand Pay & Career Growth,high,planned,10,B1
/sbi-po-cutoff,cutoff,banking,2,1000,SBI PO Cutoff 2026 — Category-Wise Cut Off Marks,medium,planned,8,B2
/sbi-clerk-notification,notification,banking,2,1200,SBI Clerk 2026 Notification — Junior Associate Recruitment,medium,planned,10,B2
/sbi-clerk-syllabus,syllabus,banking,2,1500,SBI Clerk Syllabus 2026 — Prelims & Mains Syllabus,medium,planned,8,B2
/sbi-clerk-salary,salary,banking,2,1200,SBI Clerk Salary 2026 — In-Hand Pay & Allowances,medium,planned,8,B2
/rbi-grade-b-notification,notification,banking,2,1200,RBI Grade B 2026 Notification — Officer Recruitment,medium,planned,8,B2
/rbi-grade-b-syllabus,syllabus,banking,2,1500,RBI Grade B Syllabus 2026 — Phase I & II Syllabus,medium,planned,8,B2
/rbi-grade-b-salary,salary,banking,2,1200,RBI Grade B Salary 2026 — Officer Pay & Perks,medium,planned,6,B2
/rbi-assistant-notification,notification,banking,2,1000,RBI Assistant 2026 Notification — Recruitment Details,medium,planned,6,B2
/rbi-assistant-syllabus,syllabus,banking,2,1200,RBI Assistant Syllabus 2026 — Prelims & Mains,medium,planned,6,B3
/rbi-assistant-salary,salary,banking,2,1200,RBI Assistant Salary 2026 — In-Hand Pay Details,low,planned,6,B3
/ibps-so-notification,notification,banking,2,1000,IBPS SO 2026 Notification — Specialist Officer Recruitment,low,planned,6,B3
/nabard-grade-a-notification,notification,banking,2,1000,NABARD Grade A 2026 Notification — Assistant Manager,low,planned,6,B3
/upsc-jobs,hub,upsc,2,2000,UPSC Jobs 2026 — Latest Civil Services & Defence Recruitment,high,planned,20,B1
/upsc-civil-services-notification,notification,upsc,2,1200,UPSC Civil Services 2026 Notification — IAS IPS IFS,high,planned,15,B1
/upsc-civil-services-syllabus,syllabus,upsc,2,1500,UPSC Syllabus 2026 — Prelims & Mains Complete Syllabus,high,planned,15,B1
/upsc-civil-services-exam-pattern,exam_pattern,upsc,2,1200,UPSC Exam Pattern 2026 — Prelims Mains & Interview,medium,planned,8,B2
/upsc-ias-salary,salary,upsc,2,1200,IAS Salary 2026 — In-Hand Pay Perks & Career Growth,high,planned,12,B1
/upsc-civil-services-cutoff,cutoff,upsc,2,1000,UPSC Cutoff 2026 — Category-Wise Prelims & Mains Marks,medium,planned,8,B2
/upsc-civil-services-previous-year-papers,previous_papers,upsc,2,900,UPSC Previous Year Papers — Prelims & Mains PDF,medium,planned,8,B2
/upsc-nda-notification,notification,upsc,2,1200,NDA 2026 Notification — National Defence Academy Exam,high,planned,12,B1
/upsc-nda-syllabus,syllabus,upsc,2,1500,NDA Syllabus 2026 — Maths & GAT Complete Syllabus,high,planned,10,B1
/upsc-nda-exam-pattern,exam_pattern,upsc,2,1000,NDA Exam Pattern 2026 — Paper Structure & Marking,medium,planned,6,B2
/upsc-nda-salary,salary,upsc,2,1200,NDA Salary 2026 — Training Stipend & Officer Pay,medium,planned,8,B2
/upsc-nda-cutoff,cutoff,upsc,2,1000,NDA Cutoff 2026 — Category-Wise & Paper-Wise Marks,medium,planned,6,B2
/upsc-cds-notification,notification,upsc,2,1200,UPSC CDS 2026 Notification — Combined Defence Services,medium,planned,10,B2
/upsc-cds-syllabus,syllabus,upsc,2,1500,CDS Syllabus 2026 — English GK & Maths Syllabus,medium,planned,8,B2
/upsc-cds-salary,salary,upsc,2,1200,CDS Salary 2026 — IMA INA AFA OTA Pay & Allowances,medium,planned,6,B2
/upsc-capf-notification,notification,upsc,2,1000,UPSC CAPF 2026 Notification — Assistant Commandant,low,planned,6,B3
/upsc-ese-notification,notification,upsc,2,1000,UPSC ESE 2026 Notification — Engineering Services,low,planned,6,B3
/defence-jobs,hub,defence,3,2000,Defence Jobs 2026 — Indian Army Navy & Air Force Recruitment,high,planned,20,B2
/agniveer-army-notification,notification,defence,3,1200,Agniveer Army 2026 Notification — Rally Bharti Details,high,planned,15,B2
/agniveer-army-syllabus,syllabus,defence,3,1500,Agniveer Army Syllabus 2026 — Complete Exam Syllabus,high,planned,12,B2
/agniveer-army-salary,salary,defence,3,1200,Agniveer Salary 2026 — Monthly Pay & Seva Nidhi Details,high,planned,12,B2
/agniveer-army-cutoff,cutoff,defence,3,1000,Agniveer Army Cutoff 2026 — Category-Wise Marks,medium,planned,6,B2
/agniveer-navy-notification,notification,defence,3,1200,Agniveer Navy 2026 Notification — SSR MR AA Recruitment,medium,planned,10,B2
/agniveer-navy-syllabus,syllabus,defence,3,1500,Agniveer Navy Syllabus 2026 — SSR MR Complete Syllabus,medium,planned,8,B2
